name	SL021	SL036	SL037	SL038	SL048	SL050	SL068	SL085	SL086	SL088	SL090	SL103	SL111	SL112	SL114	SL118	SL125	SL200
status	caries_free	caries_active	caries_active	caries_active	caries_active	caries_active	caries_active	caries_free	caries_free	caries_free	caries_free	caries_free	caries_active	caries_free	caries_free	caries_active	caries_free	caries_active
root	486631	476446	492711	482361	476813	491243	487439	481942	492263	489795	483082	481327	478505	491387	480538	492290	495430	488618
cellular_organisms	486204	475652	488333	483108	474826	491310	487098	481336	491158	489191	484087	482875	477308	492704	480114	491674	494857	488754
Bacteria	485160	475610	486799	481166	474992	489248	485955	479613	490608	489282	484101	482512	477192	492939	478842	490160	494948	487742
Terrabacteria_group	343792	361671	243710	297444	292593	321253	266992	315974	278818	321896	356200	373588	434598	245035	366199	214947	258562	306356
Bacillota	249640	269719	207223	221833	241798	247212	223497	287307	182792	287923	277751	292039	263770	196667	220685	152467	207255	229160
Bacilli	234641	140569	170464	186828	156040	206260	97388	219955	156784	236769	218212	245846	245431	155700	176608	144120	138162	157554
Lactobacillales	199889	134783	154515	161319	150370	195834	88436	196711	145281	218541	206906	224564	240119	152274	167385	127637	128521	149231
Streptococcaceae	187281	122876	135504	144707	126201	184639	77371	170485	131241	174931	186508	204249	214503	128380	155248	107468	111582	129167
Streptococcus	187248	123331	135280	144472	125961	184567	77435	170768	131563	174871	186772	204217	215379	127880	155124	108258	111173	129108
Streptococcus_mitis	70642	17736	35647	50345	12655	12989	4281	58205	5037	51639	37652	62884	12656	15328	24418	27807	14648	26627
Streptococcus_oralis	29172	25510	30456	18696	52662	34065	21117	24754	64563	44319	29996	42723	14417	23838	18969	16818	24181	23071
Streptococcus_pneumoniae	22636	6219	12201	14392	6122	6871	2452	23375	3974	17034	20146	18024	5578	7124	11286	14171	4592	11339
unclassified_Streptococcus	14578	9775	12458	14225	15343	17724	8060	15945	8968	18919	53440	19692	42860	17706	35015	16357	15050	9377
