"name"	"taxRank"	"taxID"	"Max"	"SL021_caries_fre.cladeReads"	"SL036_caries_activ.cladeReads"	"SL037_caries_activ.cladeReads"	"SL038_caries_activ.cladeReads"	"SL048_caries_activ.cladeReads"	"SL050_caries_activ.cladeReads"	"SL068_caries_activ.cladeReads"	"SL085_caries_fre.cladeReads"	"SL086_caries_fre.cladeReads"	"SL088_caries_fre.cladeReads"	"SL090_caries_fre.cladeReads"	"SL103_caries_fre.cladeReads"	"SL111_caries_activ.cladeReads"	"SL112_caries_fre.cladeReads"	"SL114_caries_fre.cladeReads"	"SL118_caries_activ.cladeReads"	"SL125_caries_fre.cladeReads"	"SL200_caries_activ.cladeReads"	"lineage"
"root"	"-"	1	2195900	486631	1565421	1510960	727116	1454643	953033	742624	842633	1007556	1080863	1647745	2195949	1099952	1629020	772274	1386750	913077	934307	"root"
"cellular organisms"	"-"	131567	2195300	486204	1562165	1498363	726506	1453637	952555	742315	840956	1005895	1078080	1646509	2195330	1098821	1627961	771473	1386131	912537	933548	"root"
"Bacteria"	"D"	2	2193400	485160	1560209	1496219	724886	1451628	951316	741157	839331	1004131	1076967	1645419	2193396	1097137	1626422	770310	1383752	911423	931849	"cellular&nbsp;organisms"
"Terrabacteria group"	"-"	1783272	1702300	343792	1189599	745279	447106	890789	622248	406114	550982	570930	709980	1213221	1702317	999125	810608	589160	605611	476723	585099	"cellular&nbsp;organisms>Bacteria"
"Bacillota"	"P"	1239	1331200	249640	884341	636680	333670	738647	480181	340527	502229	374147	635147	943559	1331193	606531	649726	354428	429546	381982	437489	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Bacilli"	"C"	91061	1116800	234641	464156	522016	281235	477413	400932	148395	384020	320940	521206	738796	1116787	563351	516290	284109	406066	254435	300140	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota"
"Lactobacillales"	"O"	186826	1019300	199889	443498	474831	243358	458593	380674	134517	343854	296662	481624	702498	1019283	552472	503850	269055	361265	237441	285455	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli"
"Streptococcaceae"	"F"	1300	928630	187281	403450	415467	217914	385959	358718	117752	298004	269333	385511	634107	928626	493967	423719	249155	304338	205628	247002	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales"
"Streptococcus"	"G"	1301	928320	187248	403228	415201	217845	385811	358586	117704	297904	269287	385457	633999	928319	493752	423655	249102	304180	205610	246936	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae"
"Streptococcus mitis"	"S"	28037	286650	70642	58390	109197	75543	38126	24824	6533	101794	10342	114176	127162	286648	29099	50653	39203	78879	26934	50208	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
