"species","Spearman_Correlation","P_value"
"Xanthomonas_sacchari",-0.938435031676635,2.55117784945016e-08
"Pseudomonas_benzenivorans",-0.931799080068605,5.39109753342059e-08
"Rubrobacter_marinus",-0.92571148689316,1.0054393594281e-07
"Deinococcus_taeanensis",-0.917426393548341,2.16818183320475e-07
"Sorangium_cellulosum",-0.914571005857503,2.77424355905235e-07
"Anaeromyxobacter_sp._Fw109-5",-0.901430304093031,7.80156319353931e-07
"Arenimonas_daejeonensis",-0.899879333107467,8.73014558275707e-07
"Thermomonas_sp._XSG",-0.893930700708537,1.32216361309017e-06
"Lysobacter_sp._S4-A87",-0.893471238387474,1.36384841938118e-06
"Aquihabitans_sp._G128",-0.892241478226585,1.48098531037148e-06
"Pseudoxanthomonas_sp._JBR18",-0.891813263891295,1.52374060564636e-06
"Shinella_zoogloeoides",-0.889854410048449,1.73303351998451e-06
"Rhodobacter_sp._CZR27",-0.889498002896057,1.77363789377272e-06
"Amycolatopsis_sp._YIM_10",-0.885924268233592,2.22779878827283e-06
"Pseudoxanthomonas_suwonensis",-0.884523554397821,2.43107117134698e-06
"Conexibacter_sp._S30A1",-0.881444656789456,2.93413897908872e-06
"Luteimonas_yindakuii",-0.881382781848983,2.945094666528e-06
"Lysobacter_oculi",-0.879923124984423,3.21385698603965e-06
"Streptomyces_sp._S8",-0.877166746677793,3.77868613867649e-06
"Anoxybacillus_sp._PDR2",-0.875842438224714,4.07881511591837e-06
"Schlegelella_aquatica",-0.869853464282391,5.70318000492472e-06
"Lysobacter_solisilvae",-0.869619624603161,5.77639369798055e-06
"Methylosinus_sp._C49",-0.866831547551038,6.71286164518087e-06
"Lysobacter_auxotrophicus",-0.866768132403476,6.73557923078782e-06
"Lysobacter_lycopersici",-0.866465160717547,6.84501936078327e-06
"Lysobacter_antibioticus",-0.863482539997123,8.00567433564144e-06
"Pseudoxanthomonas_winnipegensis",-0.862390827121153,8.47037253509832e-06
"Cupriavidus_necator",-0.861808085866117,8.72767009899372e-06
"Thermaerobacter_marianensis",-0.85830456141314,1.04189263620726e-05
"Methylomarinovum_caldicuralii",-0.857360993574566,1.09192938336211e-05
"uncultured_Holophaga_sp.",-0.856107541829574,1.16154387937431e-05
"Cupriavidus_oxalaticus",-0.85540903084052,1.2019473184523e-05
"Methylobacterium_radiodurans",-0.855165962564818,1.21628387472398e-05
"Xanthomonas_cucurbitae",-0.853111663951074,1.34335723724229e-05
"Luteimonas_fraxinea",-0.8528940889201,1.35745223603005e-05
"Halomarina_sp._BND7",-0.852627050896581,1.37492291998864e-05
"Magnetospirillum_sp._XM-1",-0.847947384216961,1.71354866633712e-05
"Sphingomonas_sp._AP4-R1",-0.844922739106138,1.96805596319415e-05
"Ureibacillus_thermophilus",-0.844267884002508,2.0271823301234e-05
"Deinococcus_peraridilitoris",-0.843557019532028,2.09306270091595e-05
"Leptothrix_cholodnii",-0.84323103083104,2.12387540822674e-05
"Micromonospora_viridifaciens",-0.84104317319585,2.34078810320531e-05
"Deinococcus_actinosclerus",-0.840891427032082,2.35650375034066e-05
"Thermus_aquaticus",-0.840632379044268,2.38353861852355e-05
"Nordella_sp._HKS_07",-0.839339208006811,2.52245939933695e-05
"Xanthomonas_theicola",-0.8382967283612,2.63938292472106e-05
"Stenotrophomonas_sp._24(2023)",-0.837373952006035,2.74667663702465e-05
"Pirellulimonas_nuda",-0.836593237752746,2.8403130063736e-05
"Hyphomicrobium_nitrativorans",-0.836428361009343,2.86042936308817e-05
"Pseudoxanthomonas_sp.",-0.834634927061654,3.08714782772222e-05
"Lysobacter_sp._5GHs7-4",-0.83448047130346,3.10736469794156e-05
"Deinococcus_sp._KNUC1210",-0.834335320661302,3.12646556667348e-05
"Rhodopseudomonas_palustris",-0.833038070003862,3.30163033225712e-05
"Ornithinimicrobium_sp._HY006",-0.832825992710216,3.33104099940558e-05
"Herbaspirillum_robiniae",-0.830850932380953,3.61574511887227e-05
"Truepera_radiovictrix",-0.828531603439749,3.97607932853289e-05
"Lysobacter_terrestris",-0.827754034844191,4.10347587065826e-05
"Altererythrobacter_epoxidivorans",-0.827602845928067,4.12864274400615e-05
"Falsirhodobacter_algicola",-0.827080720346608,4.216560812276e-05
"Lysobacter_ciconiae",-0.826644767674052,4.29117514643345e-05
"Lysobacter_sp._CW239",-0.826415299591531,4.33089505003084e-05
"Thermomonas_carbonis",-0.825950982602038,4.41221675027782e-05
"Acetobacter_pasteurianus",-0.824010972524175,4.7660937502144e-05
"Xanthomonas_citri",-0.822376348008964,5.0825859861111e-05
"Bacillus_smithii",-0.82216147429096,5.12547834755189e-05
"Conexibacter_sp._SYSU_D00693",-0.820942556377468,5.37462019908437e-05
"Dactylosporangium_aurantiacum",-0.820373200032201,5.4944490038289e-05
"Acidovorax_radicis",-0.820161179196865,5.5396437876499e-05
"Nocardia_cyriacigeorgica",-0.820072391067862,5.55866298259672e-05
"Luteimonas_sp._MC1750",-0.819436475649493,5.69649856279513e-05
"Pseudoxanthomonas_daejeonensis",-0.818499132478038,5.90491897150631e-05
"Stenotrophomonas_maltophilia",-0.81790328064793,6.04072233779595e-05
"Pseudoxanthomonas_sp._SL93",-0.817694294128813,6.08897293401379e-05
"Polaromonas_naphthalenivorans",-0.816953334814191,6.26267220918949e-05
"Methylocapsa_sp._D3K7",-0.816653555136179,6.33412520074973e-05
"Hydrogenophaga_taeniospiralis",-0.816413298991331,6.39188562440467e-05
"Streptomyces_laculatispora",-0.816110125458198,6.46540520647138e-05
"Nitratireductor_mangrovi",-0.815042449348619,6.73001883816754e-05
"Kaistia_sp._32K",-0.813675846434994,7.08198535388107e-05
"Hyphomicrobium_denitrificans",-0.81352345386115,7.12217737734806e-05
"Lysobacter_capsici",-0.812592508834115,7.37190130648836e-05
"Geobacillus_sp._E263",-0.811548117361863,7.66079577627926e-05
"Thauera_sp._K11",-0.811426118140918,7.69515599269308e-05
"Deinococcus_maricopensis",-0.809791694898484,8.16814541795807e-05
"Chloroflexus_aggregans",-0.808685788294557,8.50187689732682e-05
"Lysobacter_sp._H21R4",-0.80730770499871,8.93373800777264e-05
"Micromonospora_chokoriensis",-0.807290424809522,8.9392682133896e-05
"Ralstonia_mannitolilytica",-0.806050216361641,9.34377054333591e-05
"Thermaerobacter_composti",-0.806030005738582,9.3504877399374e-05
"Alicyclobacillus_cycloheptanicus",-0.805792760113225,9.4296428550933e-05
"Usitatibacter_rugosus",-0.805161048316106,9.64316216105785e-05
"Thermomonas_aquatica",-0.80501216027563,9.69407427547031e-05
"Candidatus_Methylacidiphilum_infernorum",-0.804125916057351,0.00010001826297216
"Geobacillus_proteiniphilus",-0.802537256126855,0.000105740711422282
"Candidatus_Nitrospira_inopinata",-0.800718440626631,0.000112627709364089
"Defluviicoccus_vanus",-0.79960666056242,0.000117020217612657
"Leptotrichia_hongkongensis",-0.799019607843137,0.000175061324788735
"Variovorax_sp._PBS-H4",-0.798604523340002,0.000121102013529111
"Geobacillus_sp._Y412MC52",-0.797763890343533,0.000124617603658798
"Dissulfurimicrobium_hydrothermale",-0.797705744110499,0.000124863911565398
"Anaeromyxobacter_paludicola",-0.797451884236682,0.000125944058877764
"Luteimonas_sp._MC1572",-0.796347642886642,0.000130734261351852
"Leucobacter_allii",-0.796108578702043,0.000131791213699424
"Lysobacter_sp._CJ11",-0.795293688441197,0.000135448084842748
"Meiothermus_taiwanensis",-0.795083541685829,0.000136404823111592
"Nocardioides_sp._HM61",-0.793970891953938,0.000141565463891539
"Deinococcus_sp._AB2017081",-0.793944056303564,0.00014169192689019
"Halomonas_sp._PGE1",-0.793756854777396,0.000142576754282861
"Lysobacter_maris",-0.792877531839735,0.000146795267055617
"Deinococcus_radiodurans",-0.792674755860332,0.000147782790808174
"Microbacterium_protaetiae",-0.792658547565856,0.000147861965550736
"Collimonas_fungivorans",-0.791632826138259,0.000152945363951912
"Streptomyces_sp._YIM_121038",-0.791629699696145,0.000152961079550239
"Caldimonas_thermodepolymerans",-0.791411638685639,0.000154060547830245
"Aquabacterium_sp._J223",-0.790880356043525,0.000156767067156624
"Pseudomonas_sp._MM213",-0.790606677051167,0.000158176761891167
