feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
cephalosporin	status	Health	3.45495792205242	0.969176892564928	18	14	0.00258422636179919	0.021971846110429
monobactam	status	Health	3.49765069398389	1.02879160749552	18	12	0.00366197435173817	0.021971846110429
penem	status	Health	3.49765069398389	1.02879160749552	18	12	0.00366197435173817	0.021971846110429
tetracycline_antibiotic	status	Health	-1.21059619606707	0.588800244932705	18	18	0.0564728652737597	0.203302314985535
disinfecting_agents_and_antiseptics	status	Health	-1.25253755875439	0.609176043254957	18	16	0.0564644409680311	0.203302314985535
elfamycin_antibiotic	status	Health	1.89131981907394	1.36789824754399	18	8	0.185768472114068	0.557305416342205
penam	status	Health	1.02162789408364	1.02691738603382	18	15	0.334618012228512	0.735121562998755
sulfonamide_antibiotic	status	Health	1.17085380535295	1.09884334684461	18	10	0.30245082269525	0.735121562998755
lincosamide_antibiotic	status	Health	0.64650529334475	1.00939273736091	18	6	0.530921128832434	0.735121562998755
macrolide_antibiotic	status	Health	0.64650529334475	1.00939273736091	18	6	0.530921128832434	0.735121562998755
streptogramin_A_antibiotic	status	Health	0.64650529334475	1.00939273736091	18	6	0.530921128832434	0.735121562998755
streptogramin_B_antibiotic	status	Health	0.64650529334475	1.00939273736091	18	6	0.530921128832434	0.735121562998755
streptogramin_antibiotic	status	Health	0.64650529334475	1.00939273736091	18	6	0.530921128832434	0.735121562998755
glycopeptide_antibiotic	status	Health	-0.203350021557276	0.36714316384788	18	18	0.587324942701408	0.743239711590731
nitroimidazole_antibiotic	status	Health	-0.355518104757549	0.701815856341908	18	5	0.61936642632561	0.743239711590731
fluoroquinolone_antibiotic	status	Health	0.292342648740622	0.889600145403456	18	17	0.746702844022014	0.840040699524766
aminoglycoside_antibiotic	status	Health	0.0983633638756529	1.0142520774861	18	13	0.923945773727824	0.932423683616655
cephamycin	status	Health	0.174182145629039	2.02207589619477	18	12	0.932423683616655	0.932423683616655
