feature	aminoglycoside_antibiotic	cephalosporin	cephamycin	fluoroquinolone_antibiotic	glycopeptide_antibiotic	monobactam	penam	penem	sulfonamide_antibiotic	tetracycline_antibiotic	disinfecting_agents_and_antiseptics	lincosamide_antibiotic	macrolide_antibiotic	nitroimidazole_antibiotic	streptogramin_A_antibiotic	streptogramin_B_antibiotic	streptogramin_antibiotic	elfamycin_antibiotic
SL021	0.0699466650395377	0.12722695578294	0.0174959924818897	0.0545560316694167	0.30407163097308	0.10973096330105	0.12722695578294	0.10973096330105	0.0413508225674914	0.0386630191006044	0	0	0	0	0	0	0	0
SL036	0.157599915389609	0.0146019537396766	0	0.14443177486082	0.135180090570797	0.0146019537396766	0.159033728600496	0.0146019537396766	0.0125690385470108	0.153578839448973	0.162478112903683	0.00477604309533352	0.00477604309533352	0.00744242298291236	0.00477604309533352	0.00477604309533352	0.00477604309533352	0
SL037	0.134865431252825	0.00268515407941779	0.0549588843886815	0.0577854670815447	0.552595516437139	0.00178382165743778	0.025338110525641	0.00178382165743778	0	0.0576390600429559	0.11056473287692	0	0	0	0	0	0	0
SL038	0	0	0.117911189212293	0	0.737227716773622	0	0	0	0	0.125239697152918	0.0196213968611671	0	0	0	0	0	0	0
SL048	0.0072203139213622	0.0448206636831841	0.0448206636831841	0.0767113749859334	0.432061344821626	0	0.0520409776045463	0	0.00208380383392255	0.0999802429386516	0.105121206773287	0	0	0.0461741726776703	0	0	0	0.0889652350766325
SL050	0.0570906803909114	0.033678180464148	0	0.198834355816771	0.290164652207302	0.033678180464148	0.0662956308349369	0.033678180464148	0.0253824521880527	0.0483084208143124	0.21288926635527	0	0	0	0	0	0	0
SL068	0.0718349982196198	0.00150845153055833	0.0268897881534312	0.103130823949999	0.222458754909596	0.00150845153055833	0.0733434497501781	0.00150845153055833	0.0270578493293901	0.0931403913923679	0.132888606962859	0.0392999091479912	0.0392999091479912	0	0.0392999091479912	0.0392999091479912	0.0392999091479912	0.0482304370009288
SL085	0	0.00342695424392801	0.0030544592174141	0.135555960648164	0.730210996150913	0.00342695424392801	0.00342695424392801	0.00342695424392801	0	0.0033340198915503	0	0	0	0.0444177488777508	0	0	0	0.0697189982384949
SL086	0.0506794308595717	0.0490158895069872	0	0.0696571842344472	0.141883289211041	0.0490158895069872	0.0490158895069872	0.0490158895069872	0.00202819496662418	0.0241355201028278	0.0512765413145653	0.0900327635402508	0.0900327635402508	0.0141124635817199	0.0900327635402508	0.0900327635402508	0.0900327635402508	0
SL088	0.0946129709538443	0.092603055600304	0.0648642169767861	0.0162115683001157	0.357981758981278	0.0636931735448497	0.092603055600304	0.0636931735448497	0.0851271753284474	0.0132160911468823	0.055393760022339	0	0	0	0	0	0	0
SL090	0.0324531404281857	0.0191297665352548	0.031751253803624	0.0355741566270121	0.243302782271305	0	0.0191297665352548	0	0.0112062102033498	0.114645396905883	0.0483823678620819	0.0824177177830329	0.0824177177830329	0	0.0824177177830329	0.0824177177830329	0.0824177177830329	0.0323365699128851
SL103	0.0304739014977319	0.0313810420766805	0.000274216267080968	0.0746518363116316	0.360994975258947	0.0313810420766805	0.0417689994884536	0.0313810420766805	0.0223990331691358	0.0572461412901174	0.04933882677419	0.0537417887425339	0.0537417887425339	0	0.0537417887425339	0.0537417887425339	0.0537417887425339	0
SL111	0	0	0	0.178528663311891	0.625662030696106	0	0	0	0	0.0453917787178399	0.150417527274163	0	0	0	0	0	0	0
SL112	0.0757511099908671	0.0268478169246808	0.0239295759546068	0.121581624658839	0.268837095061455	0.0268478169246808	0.0545494775845215	0.0268478169246808	0.0153445473262843	0.0381936588316591	0.226172113350019	0	0	0	0	0	0	0.0950973464677064
SL114	0	0.0406112452649889	0	0.0420469963602158	0.589763301078534	0.0406112452649889	0.0406112452649889	0.0406112452649889	0	0.0808970767390693	0.026489607706936	0	0	0	0	0	0	0.0983580370552896
SL118	0	0	0.129557982148328	0.00380358043870912	0.673730171457076	0	0	0	0	0.0743921572861094	0.118516108669777	0	0	0	0	0	0	0
SL125	0.0212060356529866	0.0511417579294693	0.0780707710711248	0.117887042287983	0.281354872685026	0.031903466723773	0.0511417579294693	0.031903466723773	0	0.120116313058583	0.149729672124867	0	0	0	0	0	0	0.0655448438129441
SL200	0.12695496715827	0	0	0.127255644373413	0.242677310029346	0	0.059603270966324	0	0	0.11326996115911	0.0775159561237565	0.0376457651479374	0.0376457651479374	0.0623626816592094	0.0376457651479374	0.0376457651479374	0.0376457651479374	0.00213138279088437
