feature	aminoglycoside_antibiotic	cephalosporin	cephamycin	fluoroquinolone_antibiotic	glycopeptide_antibiotic	monobactam	penam	penem	sulfonamide_antibiotic	tetracycline_antibiotic	disinfecting_agents_and_antiseptics	lincosamide_antibiotic	macrolide_antibiotic	nitroimidazole_antibiotic	streptogramin_A_antibiotic	streptogramin_B_antibiotic	streptogramin_antibiotic	elfamycin_antibiotic
SL021	-3.83760091645357	-2.97452372572465	-5.8368316842088	-4.19611748124595	-1.71751687162493	-3.18795741966745	-2.97452372572465	-3.18795741966745	-4.59594016141234	-4.69290189129943	-6.67142843807774	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL036	-2.66566133463003	-6.09769477532925	-12.8323982222145	-2.79153992613027	-2.88704540887277	-6.09769477532925	-2.65259532356464	-6.09769477532925	-6.31398189296061	-2.70294864396545	-2.62168270617407	-7.70996843023201	-7.70996843023201	-7.07001189769092	-7.70996843023201	-7.70996843023201	-7.70996843023201	-9.87399456394118
SL037	-2.8904074912357	-8.54077940939959	-4.18550347061238	-4.1131494860745	-0.855704238202297	-9.13081289966816	-5.30254724370651	-9.13081289966816	-9.94558794205354	-4.11680938102166	-3.17703681616219	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL038	-8.11372272137969	-10.3727159439922	-3.08422746516058	-9.03842616895173	-0.43981778341389	-10.3727159439922	-9.18885735527913	-10.3727159439922	-9.94558794205354	-2.99723616993206	-5.67142843807774	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL048	-7.1137227213797	-4.47969217802259	-4.47969217802259	-3.7044156691648	-1.2106919316032	-10.3727159439922	-4.26420812602832	-10.3727159439922	-8.90656481373841	-3.32221315719256	-3.24987435212967	-8.70996843023201	-8.70996843023201	-4.43677007771731	-8.70996843023201	-8.70996843023201	-8.70996843023201	-3.49061450516566
SL050	-4.13060093369939	-4.89204199395536	-12.8323982222145	-2.33036103877104	-1.78505631356427	-4.89204199395536	-3.91494239606543	-4.89204199395536	-5.30002473570025	-4.37158149743938	-2.23182488237472	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL068	-3.79916928923584	-9.37271594399222	-5.21679780054379	-3.27745250210796	-2.1683902176993	-9.37271594399222	-3.76918806416112	-9.37271594399222	-5.20780901731654	-3.42444924514449	-2.91171067261152	-4.66933021245354	-4.66933021245354	-8.07001189769092	-4.66933021245354	-4.66933021245354	-4.66933021245354	-4.37391230780644
SL085	-8.11372272137969	-8.18885735527913	-8.35486730671806	-2.8830395423279	-0.453614700596976	-8.18885735527913	-8.18885735527913	-8.18885735527913	-9.94558794205354	-8.22852157285264	-6.67142843807774	-8.70996843023201	-8.70996843023201	-4.49271991182007	-8.70996843023201	-8.70996843023201	-8.70996843023201	-3.8423043496103
SL086	-4.30245586696696	-4.35060668550739	-12.8323982222145	-3.84358403400633	-2.81722341381898	-4.35060668550739	-4.35060668550739	-4.35060668550739	-8.94558794205354	-5.37269827363296	-4.28555723664426	-3.47340608616063	-3.47340608616063	-6.14688633175536	-3.47340608616063	-3.47340608616063	-3.47340608616063	-9.87399456394118
SL088	-3.40181820654842	-3.43279639124953	-3.94643336990128	-5.9468325264729	-1.4820420182853	-3.97271743300336	-3.43279639124953	-3.97271743300336	-3.55423642974294	-6.24156064809377	-4.17413272057348	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL090	-4.94549809796171	-5.70803692301623	-4.97704262716376	-4.81302663525628	-2.03917527668228	-10.3727159439922	-5.70803692301623	-10.3727159439922	-6.47955773011949	-3.12474966403644	-4.36937481236907	-3.60090167506055	-3.60090167506055	-8.07001189769092	-3.60090167506055	-3.60090167506055	-3.60090167506055	-4.95068953607508
SL103	-5.03628197327176	-4.99396292880405	-11.8323982222145	-3.74367844106795	-1.46994933871522	-4.99396292880405	-4.58142360338041	-4.99396292880405	-5.48041972857203	-4.12667773899709	-4.34113277951127	-4.21781184894028	-4.21781184894028	-8.07001189769092	-4.21781184894028	-4.21781184894028	-4.21781184894028	-9.87399456394118
SL111	-8.11372272137969	-10.3727159439922	-12.8323982222145	-2.4857723730245	-0.676544540456231	-10.3727159439922	-9.18885735527913	-10.3727159439922	-9.94558794205354	-4.46142516708324	-2.73295540926667	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL112	-3.72258916103618	-5.21905140659128	-5.38506135803021	-3.0400028925596	-1.89519587504148	-5.21905140659128	-4.19629080972133	-5.21905140659128	-6.026130103746	-4.71052305757428	-2.14450703652249	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-3.39445110411781
SL114	-8.11372272137969	-4.62197692439182	-12.8323982222145	-4.57185344496599	-0.761792043595332	-4.62197692439182	-4.62197692439182	-4.62197692439182	-9.94558794205354	-3.62776861876651	-5.23842971124079	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-3.34581324661439
SL118	-8.11372272137969	-10.3727159439922	-2.94833019128712	-8.03842616895173	-0.569757186334278	-10.3727159439922	-9.18885735527913	-10.3727159439922	-9.94558794205354	-3.74870565501176	-3.0768449318098	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-9.87399456394118
SL125	-5.55938124728168	-4.28935443763203	-3.67907367115749	-3.08452294361142	-1.82953714575296	-4.97014298981433	-4.28935443763203	-4.97014298981433	-9.94558794205354	-3.05749599737826	-2.73956794439633	-8.70996843023201	-8.70996843023201	-8.07001189769092	-8.70996843023201	-8.70996843023201	-8.70996843023201	-3.9313738967126
SL200	-2.97761125284079	-10.3727159439922	-12.8323982222145	-2.97419844700339	-2.04288886995174	-10.3727159439922	-4.0684646832919	-10.3727159439922	-9.94558794205354	-3.14216278123716	-3.6893628800173	-4.73136860757866	-4.73136860757866	-4.00317322304018	-4.73136860757866	-4.73136860757866	-4.73136860757866	-8.87399456394118
