feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
TEM.1	status	Health	3.35563247813553	1.09983558198238	18	12	0.00762230640124103	0.182935353629785
mdeA	status	Health	-1.99866270628727	0.887823573731208	18	8	0.0387830362448665	0.465396434938398
APH.3...Ia	status	Health	1.40808919329859	0.7170611395481	18	5	0.0671857797323427	0.537486237858742
Haemophilus_influenzae_PBP3_conferring_resistance_to_beta.lactam_antibiotics	status	Health	1.73043229910486	1.26795318372023	18	6	0.191219859982007	0.710218245671741
patB	status	Health	1.97013148482876	1.30954413150455	18	11	0.151951209269442	0.710218245671741
sul2	status	Health	1.17043870123905	1.16673507192897	18	10	0.330707925907693	0.710218245671741
vanY_gene_in_vanB_cluster	status	Health	1.60696112276884	1.06111976439474	18	16	0.149427725506241	0.710218245671741
ErmX	status	Health	1.24458334364676	1.21180492265961	18	4	0.319674786046306	0.710218245671741
qacG	status	Health	-0.641756212675386	0.673899110060387	18	16	0.35510912283587	0.710218245671741
vanY_gene_in_vanG_cluster	status	Health	-0.910914545045763	0.92862524991789	18	15	0.341229037151406	0.710218245671741
APH.6..Id	status	Health	1.10174090704016	0.997904553470188	18	6	0.285897522934966	0.710218245671741
Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin	status	Health	1.63983504715594	1.26577524607049	18	8	0.21352146844139	0.710218245671741
ErmB	status	Health	0.351587993861834	0.400309527820853	18	5	0.392784802442926	0.725141173740787
vanT_gene_in_vanG_cluster	status	Health	-0.581478713534639	1.04219113314023	18	16	0.584609365269912	0.849476207923362
CfxA3	status	Health	0.711593803988883	1.46147590996462	18	4	0.632931489042525	0.849476207923362
vanY_gene_in_vanA_cluster	status	Health	-0.382545201764064	0.759636490215451	18	7	0.621412171232429	0.849476207923362
CfxA2	status	Health	-0.67338575167027	1.16895233629513	18	6	0.57258981478409	0.849476207923362
tet.32.	status	Health	0.205500678591428	0.427337347461912	18	4	0.637107155942522	0.849476207923362
vanW_gene_in_vanI_cluster	status	Health	-0.407809434473315	1.17296393654603	18	17	0.732616419697718	0.897682037137953
patA	status	Health	-0.40721533640065	1.24613583681771	18	12	0.748068364281627	0.897682037137953
APH.3....Ib	status	Health	0.063200125483599	0.772360869050743	18	9	0.935799020581664	0.978905420991937
tet.M.	status	Health	-0.146244457022848	0.9779882232862	18	16	0.882999388276508	0.978905420991937
vanY_gene_in_vanM_cluster	status	Health	0.0146461781658697	0.545326479898802	18	18	0.978905420991937	0.978905420991937
vanW_gene_in_vanG_cluster	status	Health	0.0625508346747584	1.31873598088922	18	11	0.962755609671868	0.978905420991937
