feature	APH.3....Ib	Haemophilus_influenzae_PBP3_conferring_resistance_to_beta.lactam_antibiotics	TEM.1	patB	sul2	tet.M.	vanT_gene_in_vanG_cluster	vanW_gene_in_vanI_cluster	vanY_gene_in_vanB_cluster	vanY_gene_in_vanM_cluster	CfxA3	ErmX	mdeA	patA	qacG	vanW_gene_in_vanG_cluster	vanY_gene_in_vanA_cluster	vanY_gene_in_vanG_cluster	APH.3...Ia	APH.6..Id	CfxA2	tet.32.	Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin	ErmB
SL021	27.2411567730141	6.81392134748994	42.7353952107383	21.2471804163936	16.1043309158113	15.0575494062836	42.0579772612927	19.1491934824073	15.9509563356607	41.2644305205136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SL036	9.90892852427269	0	10.9878623792675	0	9.45810870630256	6.40061440248066	15.5538426125411	42.7664491829806	8.0310267474952	15.560114323272	0	3.59393716653001	108.683844207219	0	13.5797361366737	0.328012950161201	0.66389821112627	18.8186760588766	0	0	0	0	0	0
SL037	9.33047048373575	0.163095497640753	0.322781333309923	0.369813343951887	0	0	7.18317924368579	3.50622830784663	44.8249561257812	27.7914727979843	0	0	4.0990372858384	5.98739090800381	15.9075770224153	4.24946067247467	0	5.31047250916898	0.681163548970204	10.2931380733275	9.781677796392	4.48716487884122	0	0
SL038	0	0	0	0	0	25.8786042194481	0	10.9944188623165	0	132.59667336162	24.3642955711051	0	0	0	4.05442024490742	1.67634683202903	7.06784069720347	0	0	0	0	0	0	0
SL048	0	6.71852280672146	0	5.93705607262639	0.312357792867641	7.06112844359236	11.2213063701885	21.2403299149996	5.40662943290899	20.1224178142101	0	0	1.08230980458597	4.47950718769763	14.6751370321815	3.2469294137579	1.77929465256541	1.74817530164606	0	0	0	0	13.3357008073922	0
SL050	10.7554149710359	0	14.8007764428119	45.8530099210601	11.154996951384	6.89581629721917	26.3124914538878	3.78324086131725	1.01138639025881	52.0504292894702	0	0	14.3346102556367	27.1954512670647	79.2252672369403	0	0	37.6418242991061	0	0	0	0	0	0
SL068	0	0	0.634674398178792	0	11.3844720173321	8.96415119474967	41.2418608929766	38.1341779823329	0	9.50355924925113	0	0	30.224261992917	13.1675820923359	25.6880394237237	0	0	4.71895213153662	0	0	11.3137610110133	0	20.2927458770482	8.70844074632574
SL085	0	0	0.49483546068739	0	0	0.481416193956885	0.49483546068739	2.7051005184244	1.57797530241423	90.1700172808133	0	0	0	19.2185744213192	0	0.959579575792439	0	9.53139444411282	0	0	0.441048997569196	0	10.0670829419845	0
SL086	0	0	24.5252771933388	15.933796388202	1.01481467048562	12.0762945787788	9.75104531205745	8.20367663693268	33.5064820682881	18.2759317826268	0	23.7288595232146	0	18.9194271081044	24.1881599810593	0	0	1.25467995623676	24.8629594268976	0.494676685254638	0	0	0	21.3193586059743
SL088	20.5976415430791	11.9048080849515	26.2282290158942	6.67576605808219	35.054542358743	5.44225771779571	28.7438295976074	0.285782146072955	38.5394968622437	51.0523205188164	14.8056452198417	0	0	0	22.8106112956414	15.7385042093583	0	0	1.38373193521354	16.9793272050263	0	0	0	0
SL090	12.8199535176015	11.916231831153	0	14.429464257681	6.98052422572185	54.7702670018176	57.2705825321705	5.66861498550931	51.3464545045454	34.992115028939	7.8621225233803	28.551918637539	0	0	30.1381363396245	0	0	2.2793548492153	0	3.83999420543478	0	0	20.1429569459769	22.7873713787405
SL103	0	0	22.6442101317485	14.7947440706251	16.1628926340476	30.2644308452021	46.7931008931665	4.50507210880201	13.492501677118	125.490042772325	0.197871401407009	0.447119938617944	7.49583426506553	31.5773545401794	22.7969638428369	34.7118920088339	4.75482024276545	27.4326712339551	13.351954784648	1.14183855292217	0	3.54791227395213	0	38.3323557132213
SL111	0	0	0	36.2574316020845	0	15.4060881532667	14.7697497295448	5.27013694292742	13.9903935662097	110.576655252179	0	0	0	24.3356626224184	51.0521012932103	6.24743436835917	1.99094062288369	59.5060154919925	0	0	0	0	0	0
SL112	2.81150081369707	0	7.00099621900873	0	4.00133530838259	0	11.6025341550759	17.9024426376015	10.4650308065391	15.7833251508458	0	0	7.22364958327477	24.4806970652968	51.7543341705206	4.15141717945352	1.35032655568246	8.84848133235825	4.61692535582607	5.10123365480041	6.24001836911647	2.73595576641545	24.798148949166	0
SL114	0	0	7.66097912001673	7.93182181617894	0	12.6799366057947	0	25.2724253729288	44.6890448667643	33.3136516279515	0	0	0	0	4.99704774419273	0	1.38806881783131	6.59083035804797	0	0	0	2.58063498526385	18.5544388813907	0
SL118	0	0	0	0	0	7.86008789870349	20.1045371379307	0	14.1275125834108	20.6505028432153	0	0	0	0.401876725567484	12.522113426205	3.08150442255604	0	6.28486301239187	0	0	13.6887699565968	0	0	0
SL125	10.6985582223527	9.70582064138566	16.0954693194202	36.2390702585483	0	60.5993213319252	27.4785370814305	18.4477984888279	21.2816124423048	30.3408846940795	0	0	0	23.2355720658087	75.5394191094867	7.99780642563603	0	27.2548821634079	0	0	29.6813002442082	0	33.067723698231	0
SL200	11.2322130885609	0	0	0	0	8.94997058849478	14.1165721561398	9.86299703024463	8.96187214512842	6.46204727898381	0	0	9.9400115827973	11.282356896992	2.9872907150428	0	0	1.06770086393165	0	0	0	0	0.355449781283574	6.27816788486638
