feature	APH.3....Ib	Haemophilus_influenzae_PBP3_conferring_resistance_to_beta.lactam_antibiotics	TEM.1	patB	sul2	tet.M.	vanT_gene_in_vanG_cluster	vanW_gene_in_vanI_cluster	vanY_gene_in_vanB_cluster	vanY_gene_in_vanM_cluster	CfxA3	ErmX	mdeA	patA	qacG	vanW_gene_in_vanG_cluster	vanY_gene_in_vanA_cluster	vanY_gene_in_vanG_cluster	APH.3...Ia	APH.6..Id	CfxA2	tet.32.	Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin	ErmB
SL021	-3.18428015810332	-5.18351092585855	-2.5346366613172	-3.5427967228957	-3.94261940306209	-4.03958113294918	-2.55768865891408	-3.69278449498316	-3.95642520258712	-2.58516939533619	-12.1826529909904	-11.0065542219279	-7.77300718829362	-8.94047139463694	-6.67142843807774	-10.6543992534622	-9.63718996342993	-8.56783437830031	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL036	-4.73749486922562	-10.8857032840197	-4.58838509199995	-9.70462295771022	-4.80467220963131	-5.36801353531791	-4.08702479266488	-2.62781641022017	-5.04063948843357	-4.08644317804669	-12.1826529909904	-6.20065874690272	-1.28223024280097	-8.94047139463694	-4.2828403908502	-9.65439925346216	-8.63718996342993	-3.81213070376159	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL037	-4.04754231518092	-9.8857032840197	-8.9008630911907	-8.70462295771022	-9.56584928065233	-9.14361034415081	-4.42486962927508	-5.4595722050222	-1.78326187929337	-2.47292175868122	-12.1826529909904	-11.0065542219279	-5.23420703204284	-4.68756468041273	-3.27784994334429	-5.18221239440458	-9.63718996342993	-4.86065191196433	-7.82341900576535	-3.90588116595733	-3.97941020137929	-5.1036879490155	-9.00792936526277	-5.68479028682045
SL038	-7.22885831839816	-10.8857032840197	-9.9008630911907	-9.70462295771022	-9.56584928065233	-2.99723616993206	-9.10394612657729	-4.23222462766814	-9.35441727483467	-0.640023300716855	-3.08422746516058	-11.0065542219279	-7.77300718829362	-8.94047139463694	-5.67142843807774	-6.94560340151673	-4.86965454828344	-8.56783437830031	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL048	-7.22885831839816	-4.13897664493652	-9.9008630911907	-4.31737297050871	-8.56584928065233	-4.06722194927036	-3.39895197190759	-2.47838643940199	-4.45239123086905	-2.55638895140327	-12.1826529909904	-11.0065542219279	-6.77300718829362	-4.72378068610006	-3.01181863948307	-5.18804468757246	-6.05581526743774	-6.08127084812041	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-3.14989897207958	-5.68479028682045
SL050	-4.94376026135298	-10.8857032840197	-4.48315058895687	-2.8518070104957	-4.89113333070177	-5.58503020297609	-3.65307559039919	-6.45112891590635	-8.35441727483467	-2.66891338770145	-12.1826529909904	-11.0065542219279	-4.5293207703898	-3.60545808467388	-2.06286282899083	-10.6543992534622	-9.63718996342993	-3.13648690048153	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL068	-7.22885831839816	-10.8857032840197	-8.46311616026652	-9.70462295771022	-4.29820923359083	-4.64303773058827	-2.44116718743288	-2.55419201665434	-9.35441727483467	-4.55873678381405	-12.1826529909904	-11.0065542219279	-2.88956950551014	-4.0882861642166	-3.12417983381578	-10.6543992534622	-9.63718996342993	-5.56873817597155	-8.82341900576535	-9.91059597660483	-4.30719801681809	-8.01831767124377	-3.46431252408074	-4.68479028682045
SL085	-7.22885831839816	-10.8857032840197	-8.10394612657729	-9.70462295771022	-9.56584928065233	-8.14361034415081	-8.10394612657729	-5.65328471756773	-6.43089229623128	-0.594391028514159	-12.1826529909904	-11.0065542219279	-7.77300718829362	-2.82453750151328	-6.67142843807774	-7.14849256553055	-9.63718996342993	-3.8362796254764	-8.82341900576535	-9.91059597660483	-8.26995607801622	-8.01831767124377	-3.75739312090847	-5.68479028682045
SL086	-7.22885831839816	-10.8857032840197	-3.27895624947984	-3.90113564735577	-7.87393750602598	-4.3010478376054	-4.60959690269157	-4.8588831603037	-2.82878546963361	-3.70328072924925	-12.1826529909904	-3.32658292971254	-7.77300718829362	-3.65335728821998	-3.29892466571243	-10.6543992534622	-9.63718996342993	-7.56783437830031	-3.25922766191078	-8.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-3.4810616566713
SL088	-3.84622753776868	-4.63716233076764	-3.49758629701537	-5.47170139048492	-3.07910529375496	-5.76642951210579	-3.3654544064313	-10.0176470954836	-2.94236895696322	-2.53673015568662	-4.32255933061923	-11.0065542219279	-7.77300718829362	-8.94047139463694	-3.6990015845855	-4.23440826083242	-9.63718996342993	-8.56783437830031	-7.74207030647738	-4.12492740000708	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL090	-4.83457661058904	-4.94003954494318	-9.9008630911907	-4.66394990572768	-5.71156035204644	-2.73957472821603	-2.67517336363066	-6.01189945245236	-2.83270298040247	-3.38593777360133	-5.53997688963187	-3.67937994629729	-7.77300718829362	-8.94047139463694	-3.60137743429601	-10.6543992534622	-9.63718996342993	-7.32627019616164	-8.82341900576535	-6.57379160262411	-9.26995607801622	-8.01831767124377	-4.18269215800202	-4.00473312852722
SL103	-7.22885831839816	-10.8857032840197	-4.34421769758003	-4.95827517416451	-4.830674497348	-3.92573669431961	-3.29706407758236	-6.67373781089784	-5.09120204757122	-1.87385892377397	-11.1826529909904	-10.0065542219279	-5.93919895412617	-3.86446960278362	-4.33451821879051	-3.72792991126144	-6.59589720844624	-4.06746480393127	-5.10630893996143	-8.65392932981766	-9.26995607801622	-7.01831767124377	-9.00792936526277	-3.58479725258612
SL111	-7.22885831839816	-10.8857032840197	-9.9008630911907	-3.22664902129096	-9.56584928065233	-4.46142516708324	-4.52228037247009	-6.00901339714096	-4.60048920482079	-1.61795081921898	-12.1826529909904	-11.0065542219279	-7.77300718829362	-3.80185369509728	-2.73295540926667	-5.76359000714917	-7.4134036522203	-2.51189023406623	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL112	-6.22885831839816	-10.8857032840197	-4.91263855533723	-9.70462295771022	-5.71971725249195	-9.14361034415081	-4.18383074346822	-3.55811424341672	-4.3326941293827	-3.73986951088857	-12.1826529909904	-11.0065542219279	-4.86747087293564	-3.10662604990285	-2.02659100165702	-5.66659486593614	-7.28689043976958	-4.57476891658085	-5.51326637502452	-5.36935259996155	-5.07864850677616	-6.26815387718799	-3.08803825286376	-5.68479028682045
SL114	-7.22885831839816	-10.8857032840197	-4.4345429421983	-4.38441946277246	-9.56584928065233	-3.70759610385708	-9.10394612657729	-2.71257951137134	-1.89022242597449	-2.31403013488107	-12.1826529909904	-11.0065542219279	-7.77300718829362	-8.94047139463694	-5.05099572904727	-10.6543992534622	-6.89899263560222	-4.65161149407991	-8.82341900576535	-9.91059597660483	-9.26995607801622	-6.00434563574845	-3.15837926442087	-5.68479028682045
SL118	-7.22885831839816	-10.8857032840197	-9.9008630911907	-9.70462295771022	-9.56584928065233	-3.65075088069697	-2.29584711023211	-11.0176470954836	-2.80486075771997	-2.25719131998212	-12.1826529909904	-11.0065542219279	-7.77300718829362	-7.94047139463694	-2.97889015749502	-5.00166146515367	-9.63718996342993	-3.97341502742886	-8.82341900576535	-9.91059597660483	-2.85037541697234	-8.01831767124377	-9.00792936526277	-5.68479028682045
SL125	-5.32098872191912	-5.4614830034825	-4.73175046445177	-3.56085916627634	-9.56584928065233	-2.8191034720157	-3.96009990952446	-4.53495644950371	-4.32879764512988	-3.81714195568242	-12.1826529909904	-11.0065542219279	-7.77300718829362	-4.20206994386331	-2.50117541903377	-5.74072884016325	-9.63718996342993	-3.97189042586628	-8.82341900576535	-9.91059597660483	-3.84885081540975	-8.01831767124377	-3.69298137135004	-5.68479028682045
SL200	-3.02607671197303	-10.8857032840197	-9.9008630911907	-9.70462295771022	-9.56584928065233	-3.35376407614908	-2.69632911262637	-3.21362091822256	-3.35184687315479	-3.82365571154176	-12.1826529909904	-11.0065542219279	-3.2023994846135	-3.0196504428136	-4.93680937387594	-10.6543992534622	-9.63718996342993	-6.42113951149061	-8.82341900576535	-9.91059597660483	-9.26995607801622	-8.01831767124377	-8.00792936526277	-3.86530340890025
