feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
cephalosporin	status	Health	1.29007250740668	0.564382954914134	18	15	0.0362416350511917	0.378685027121588
cephamycin	status	Health	0.956923113503093	0.677690807312825	18	15	0.177092951575328	0.378685027121588
fluoroquinolone_antibiotic	status	Health	-0.337637460573989	0.307523763732842	18	18	0.288486468001964	0.378685027121588
glycopeptide_antibiotic	status	Health	-0.321233531050672	0.212195021394817	18	18	0.149563978735272	0.378685027121588
monobactam	status	Health	0.971955147787264	0.596595267921911	18	15	0.122803960261211	0.378685027121588
penam	status	Health	0.510868652091755	0.469139293638658	18	16	0.292307109052557	0.378685027121588
penem	status	Health	0.951928635293755	0.52075831258018	18	15	0.0862618232358093	0.378685027121588
tetracycline_antibiotic	status	Health	-0.623175793596713	0.350913462304734	18	18	0.0947738811945078	0.378685027121588
lincosamide_antibiotic	status	Health	1.20788677585122	1.11453290163287	18	7	0.294532798872346	0.378685027121588
macrolide_antibiotic	status	Health	1.54280748925562	1.08625482929931	18	8	0.174713578571579	0.378685027121588
nitroimidazole_antibiotic	status	Health	-0.673124233765794	0.516765980658554	18	4	0.211159107497122	0.378685027121588
streptogramin_A_antibiotic	status	Health	1.20788677585122	1.11453290163287	18	7	0.294532798872346	0.378685027121588
streptogramin_B_antibiotic	status	Health	1.20788677585122	1.11453290163287	18	7	0.294532798872346	0.378685027121588
streptogramin_antibiotic	status	Health	1.20788677585122	1.11453290163287	18	7	0.294532798872346	0.378685027121588
disinfecting_agents_and_antiseptics	status	Health	-0.395613479772036	0.58952991072646	18	17	0.511750763332179	0.614100915998615
sulfonamide_antibiotic	status	Health	0.32187565466754	0.761683953122698	18	13	0.678223015438812	0.718118486935212
elfamycin_antibiotic	status	Health	-0.387196559076739	0.828869955904815	18	10	0.646699610026022	0.718118486935212
aminoglycoside_antibiotic	status	Health	0.204272567720526	0.584841462237365	18	16	0.731434712782914	0.731434712782914
