feature	aminoglycoside_antibiotic	cephalosporin	cephamycin	fluoroquinolone_antibiotic	glycopeptide_antibiotic	monobactam	penam	penem	sulfonamide_antibiotic	tetracycline_antibiotic	disinfecting_agents_and_antiseptics	lincosamide_antibiotic	macrolide_antibiotic	nitroimidazole_antibiotic	streptogramin_A_antibiotic	streptogramin_B_antibiotic	streptogramin_antibiotic	elfamycin_antibiotic
SL021	29.4126101330501	49.8548108952635	8.13692509430466	50.8778989123865	72.6644567316475	41.7178858009588	49.8548108952635	41.7178858009588	16.1043309158113	15.5138387822316	0	0	0	0	0	0	0	0
SL036	79.2017311486932	10.1203995598517	11.8553251986834	101.032339303732	497.245466352249	10.1203995598517	80.0325102170393	10.1203995598517	9.15300842545409	85.6263198035119	76.7564221120976	2.18387569449431	2.18387569449431	7.12774153049677	2.18387569449431	2.18387569449431	2.18387569449431	0
SL037	24.8370565470453	22.1857660741735	18.2632711759072	55.6671427967265	171.104005484044	12.2656906657771	25.874899631428	12.2656906657771	6.47105371521694	17.0615529604514	23.1061721844501	0	0	0	0	0	0	35.7593216485291
SL038	0	0	0	56.3166030412071	125.616666196399	0	0	0	0	19.6132579347396	20.5105965330611	0	0	0	0	0	0	0
SL048	32.891174613543	24.8247857075882	19.071458955881	25.8078509642133	335.032164437919	18.946078251707	44.4011266430717	18.946078251707	14.6808162647791	37.8984743630358	37.1227004304832	0	0	24.6469735385271	0	0	0	11.8300571678479
SL050	33.576685029761	27.9608925644742	14.7459135976779	100.908153589744	324.931641860557	13.2149789667963	53.0464605118384	13.2149789667963	10.0394972562456	30.0005126084492	95.3207339375595	0	0	0	0	0	0	32.261945613319
SL068	24.1794095943336	11.4241391672183	9.61669685936126	46.400797301951	238.393835123359	11.4241391672183	35.6035487615519	11.4241391672183	10.7147971927831	32.7177636073327	57.7028909476964	15.0980323616311	15.0980323616311	0	15.0980323616311	15.0980323616311	15.0980323616311	18.9068699832148
SL085	14.685184093229	23.6861745707592	15.5751759325354	20.0239995541831	202.760921121093	17.814076584746	30.8054251350705	17.814076584746	11.4867319808095	22.3806578802114	17.9798859332795	0	3.03240805446151	0	0	0	0	16.5387791189745
SL086	43.4764126815961	19.716399312292	4.71479113989591	42.3806346423068	173.084770529061	19.716399312292	19.716399312292	19.716399312292	19.7888860744695	10.7824058739097	22.0911429320777	40.4595362353268	40.4595362353268	6.77373227906964	40.4595362353268	40.4595362353268	40.4595362353268	0
SL088	57.7995938309029	39.9741017357894	25.824162241345	125.57297579536	473.606906996563	26.2282290158942	52.1868626507124	26.2282290158942	34.5932983803384	17.1520665104359	29.9767767911747	0	0	0	0	0	0	43.5134066107994
SL090	96.1418330416326	31.9870893793567	19.3657270721813	123.241453090298	374.884966887263	9.97454334371914	95.6340746755373	19.9219046503143	5.98330647919016	148.22799743787	101.319655720711	45.3774327506362	55.3247940572313	0	45.3774327506362	45.3774327506362	45.3774327506362	16.6306296381866
SL103	31.0363925635536	23.7829501106922	6.99766391328789	91.4388695717355	745.044114983652	21.5341998311726	34.0457030642048	21.5341998311726	12.6492203222981	49.1417862796383	35.8076938993115	42.8608082622725	42.8608082622725	0	42.8608082622725	42.8608082622725	42.8608082622725	10.4846795732879
SL111	0	0	0	76.6207497142129	691.102234320485	0	0	0	0	21.5021151712459	51.5248059348141	0	0	0	0	0	0	0
SL112	17.5623915644861	35.0289161248522	34.6547686819885	74.2347294595409	218.505769867956	5.83416351584061	41.8821221397539	5.83416351584061	4.00133530838259	15.7542030294834	96.0334685401913	0	0	0	0	0	0	0
SL114	3.64023345603444	7.02256419334867	5.69021999856315	19.2264882347074	168.619811883641	7.02256419334867	10.6627976493831	7.02256419334867	0	15.0993889311649	15.3000115258175	9.89314502890682	9.89314502890682	0	9.89314502890682	9.89314502890682	9.89314502890682	0
SL118	24.7356320576196	16.957937578345	10.5517601748767	50.644363923419	156.266648323207	16.957937578345	16.957937578345	16.957937578345	13.1666339702009	36.3489125844006	4.174037808735	0	0	0	0	0	0	21.3879810756447
SL125	10.1041938766664	25.8050522713559	40.8749482083543	64.9965650519227	341.652277469346	16.0954693194202	25.8050522713559	16.0954693194202	0	17.4223048829285	49.2349810717563	0	0	0	0	0	0	35.8905781602751
SL200	10.7416254201197	0	0	48.538541728171	162.761141162839	0	6.21250723924831	0	0	17.5719460424046	7.27616378172567	6.27816788486638	6.27816788486638	10.4001973042231	6.27816788486638	6.27816788486638	6.27816788486638	0
