feature	aminoglycoside_antibiotic	cephalosporin	cephamycin	fluoroquinolone_antibiotic	glycopeptide_antibiotic	monobactam	penam	penem	sulfonamide_antibiotic	tetracycline_antibiotic	disinfecting_agents_and_antiseptics	lincosamide_antibiotic	macrolide_antibiotic	nitroimidazole_antibiotic	streptogramin_A_antibiotic	streptogramin_B_antibiotic	streptogramin_antibiotic	elfamycin_antibiotic
SL021	-3.67567121601819	-2.91437330483573	-5.5295504186039	-2.88506694017162	-2.37085618019631	-3.17143998740989	-2.91437330483573	-3.17143998740989	-4.54465731099411	-4.59855031898931	-7.52767456622841	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-7.95164317403907
SL036	-3.64282089222717	-6.61108660684607	-6.38281761917296	-3.29160760445058	-0.992466544327364	-6.61108660684607	-3.62776669650811	-6.61108660684607	-6.75603494275717	-3.53029853637673	-3.68806539253642	-8.82339021055894	-8.82339021055894	-7.11683592928883	-8.82339021055894	-8.82339021055894	-8.82339021055894	-7.95164317403907
SL037	-4.09642692107287	-4.25928675993834	-4.53997593734865	-2.93209509367302	-1.31211950210603	-5.11429265764981	-4.03736786377705	-5.11429265764981	-6.03684857222447	-4.63817216194583	-4.20064285039413	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-3.57060176122363
SL038	-7.40636887158058	-7.61108660684607	-8.53498066433901	-1.97929863458647	-0.821902967884996	-8.00384377293293	-6.56887195351073	-7.61108660684607	-8.74115160290691	-3.50102974954727	-3.43648949735256	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-7.95164317403907
SL048	-4.29598445766199	-4.70190372427105	-5.082269775221	-4.64587497613145	-0.947457286807847	-5.09178574018005	-3.86308870417986	-5.09178574018005	-5.45975280307706	-4.09154521586557	-4.12138332766458	-9.82339021055894	-9.82339021055894	-4.71227448298583	-9.82339021055894	-9.82339021055894	-9.82339021055894	-5.77122794304417
SL050	-4.47986231531596	-4.74391170274339	-5.66700690897252	-2.89235127092439	-1.20525778262556	-5.82514798897964	-3.82006562621215	-5.82514798897964	-6.22163509188671	-4.64233496597484	-2.97453205790393	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-4.53748867236439
SL068	-4.59411544201892	-5.67580900044562	-5.92428111207653	-3.65374486443254	-1.29261943673251	-5.67580900044562	-4.03587341164703	-5.67580900044562	-5.76828991646259	-4.15782032217956	-3.339250859211	-5.27353391595241	-5.27353391595241	-8.11683592928883	-5.27353391595241	-5.27353391595241	-5.27353391595241	-4.94898391365863
SL085	-4.81922943128387	-4.12954556734377	-4.73434232306796	-4.37186061864304	-1.03188306471064	-4.54057308117943	-3.75040633673384	-4.54057308117943	-5.17362237855909	-4.2113383376534	-4.52720691442401	-9.82339021055894	-7.09505497544582	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-4.6477380429535
SL086	-3.79685521272682	-4.93769201356206	-7.00182235098177	-3.83368292662578	-1.8036812340036	-4.93769201356206	-4.93769201356206	-4.93769201356206	-4.93239771389254	-5.80840899661709	-4.77362005708558	-3.90060833539633	-3.90060833539633	-6.47906524573553	-3.90060833539633	-3.90060833539633	-3.90060833539633	-7.95164317403907
SL088	-4.04282502053401	-4.57481876014731	-5.20516282764738	-2.92343026098918	-1.00826615918578	-5.18276397804666	-4.19019770200199	-5.18276397804666	-4.78339179773395	-5.79550196994761	-4.99003910723121	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-4.45242440708343
SL090	-3.73500216099344	-5.32267674877664	-6.04666080385446	-3.37675077846352	-1.77179040244268	-7.00384377293293	-3.74264172528697	-6.00581088711394	-7.74115160290691	-3.11042040536689	-3.659324296326	-4.81819148100071	-4.5322402954743	-8.11683592928883	-4.81819148100071	-4.81819148100071	-4.81819148100071	-6.26632368086228
SL103	-5.38596506606875	-5.76999826279725	-7.53498066433901	-3.82711837723125	-0.800671998586765	-5.91329622849162	-5.25245321932031	-5.91329622849162	-6.68087748308993	-4.72297564543125	-5.17965633667919	-4.92026688895249	-4.92026688895249	-8.11683592928883	-4.92026688895249	-4.92026688895249	-4.92026688895249	-6.95164317403907
SL111	-7.40636887158058	-7.61108660684607	-8.53498066433901	-3.45586966363578	-0.282777567603165	-8.00384377293293	-6.56887195351073	-7.61108660684607	-8.74115160290691	-5.2891262206091	-4.02833763991659	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-7.95164317403907
SL112	-4.96710143782249	-3.97104440701702	-3.98653686695236	-2.88749647035901	-1.32999128459647	-6.5569930287888	-3.71325621101279	-6.5569930287888	-7.10103732010972	-5.12385398211916	-2.51605346969244	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-7.95164317403907
SL114	-6.40636887158058	-5.45840194101505	-5.76191541620391	-4.00537647828514	-0.872769603518728	-5.45840194101505	-4.85588573864921	-5.45840194101505	-8.74115160290691	-4.35398158804173	-4.3349390135028	-4.96397062174456	-4.96397062174456	-8.11683592928883	-4.96397062174456	-4.96397062174456	-4.96397062174456	-7.95164317403907
SL118	-3.96059937547873	-4.50522941970361	-5.18970646007678	-2.92678841566849	-1.30125214535884	-4.50522941970361	-4.50522941970361	-4.50522941970361	-4.87030356997921	-3.40527793486869	-6.52767456622841	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-4.17038983459857
SL125	-5.99398278875112	-4.64128346233131	-3.97772011270687	-3.30857353892028	-0.91448017651363	-5.3222823710918	-4.64128346233131	-5.3222823710918	-8.74115160290691	-5.20800151748608	-3.709253311818	-9.82339021055894	-9.82339021055894	-8.11683592928883	-9.82339021055894	-9.82339021055894	-9.82339021055894	-4.16533185164175
SL200	-4.77890716832719	-7.61108660684607	-8.53498066433901	-2.60298872102021	-0.857435090852251	-8.00384377293293	-5.56887195351073	-7.61108660684607	-8.74115160290691	-4.06884551191451	-5.3408695638317	-5.55370397268485	-5.55370397268485	-4.82550858814637	-5.55370397268485	-5.55370397268485	-5.55370397268485	-7.95164317403907
