feature	APH.3....Ib	Haemophilus_influenzae_PBP3_conferring_resistance_to_beta.lactam_antibiotics	TEM.1	patA	sul2	tet.M.	vanW_gene_in_vanG_cluster	vanW_gene_in_vanI_cluster	vanY_gene_in_vanA_cluster	vanY_gene_in_vanB_cluster	vanY_gene_in_vanM_cluster	CfxA3	ErmX	mdeA	qacG	vanT_gene_in_vanG_cluster	vanY_gene_in_vanG_cluster	APH.3...Ia	CfxA2	Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin	patB	qacJ	tet.32.	ErmB	vanH_gene_in_vanP_cluster
SL021	29.4126101330501	8.13692509430466	41.7178858009588	50.8778989123865	16.1043309158113	15.5138387822316	3.74391282829117	19.0451217786986	6.53787762552339	11.2859980910806	32.0515464080537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SL036	9.28962049150564	0	10.1203995598517	31.1202286465439	9.15300842545409	13.3017883210108	11.0160101403695	223.965661584766	0	18.8980926434458	122.456834674205	11.8553251986834	2.18387569449431	69.9121106571876	6.84431145491	80.055660648718	33.3973185475105	0	0	0	0	0	0	0	0
SL037	13.9957057256036	9.92007540839639	12.2656906657771	42.6559219277791	6.47105371521694	7.09261545365225	10.0149451524268	50.7606809095604	0	31.4790144960988	56.244647329254	0	0	3.68913355725456	17.6854826896264	7.48010655018212	15.1246110465221	7.15221726418715	8.34319576751083	35.7593216485291	9.32208731169286	1.73155593756912	4.05292311637272	0	0
SL038	0	0	0	27.5757580804775	0	19.6132579347396	23.7452425812857	14.3574175731427	2.35594689906782	0	81.7891688910953	0	0	0	20.5105965330611	0	3.36889025180713	0	0	0	28.7408449607296	0	0	0	0
SL048	13.3148336780594	5.87870745588127	18.946078251707	6.23151002872976	14.6808162647791	11.8661060977651	4.8828344632183	106.201649574998	0.97656689264366	17.801419357333	132.622547761949	0	0	19.5763409354835	17.5463594949997	47.5585229583665	24.9886234294113	0	13.1927514999998	11.8300571678479	0	0	0	0	0
SL050	8.49111708239674	14.7459135976779	13.2149789667963	40.2117480464347	10.0394972562456	4.91494466108494	0	34.7664071651467	4.15638242572114	5.00136127051061	156.939267453954	0	0	25.0855679473642	70.2351659901953	6.98925554243894	117.078968002786	0	0	32.261945613319	35.6108375959448	0	0	0	0
SL068	0	0	11.4241391672183	10.9729850769466	10.7147971927831	8.53835401299906	0	166.213291453048	6.80940382345097	5.2043300650661	7.91963270770928	0	0	24.1794095943336	31.4054400478126	43.5229372698005	1.71841087054069	0	9.61669685936126	18.9068699832148	11.2484026306707	2.11804130555016	0	7.98273735079859	0
SL085	10.5983415833792	5.87209798601315	17.814076584746	0	11.4867319808095	18.2938153703616	0	15.1669470814572	0	10.6895101131287	158.924655457433	9.7030779465223	0	4.08684250984981	0	9.42452068489965	8.55528778417355	0	0	16.5387791189745	0	13.8930434234297	0	0	0
SL086	30.283821965283	0	19.716399312292	35.8949769737897	19.7888860744695	10.7824058739097	0	45.4821484135827	0	2.87530823304258	85.8384701766859	4.71479113989591	20.8232848877189	0	20.6229004300985	19.0080256843055	18.3300899856465	13.192590716313	0	0	6.4856576685171	1.46824250197919	0	19.6362513476079	0
SL088	24.3696099093722	13.7458727198952	26.2282290158942	53.3583895158148	34.5932983803384	4.93930559551289	49.3825467942874	82.5383961355444	1.84497591361805	66.4191328902498	169.85132103216	12.0782895214498	0	12.212760914923	17.7640158762517	39.7457621060418	39.7794806741063	21.2172230066076	0	43.5134066107994	60.0018253646218	0	0	0	10.9918202466912
