feature	APH.3....Ib	Haemophilus_influenzae_PBP3_conferring_resistance_to_beta.lactam_antibiotics	TEM.1	patA	sul2	tet.M.	vanW_gene_in_vanG_cluster	vanW_gene_in_vanI_cluster	vanY_gene_in_vanA_cluster	vanY_gene_in_vanB_cluster	vanY_gene_in_vanM_cluster	CfxA3	ErmX	mdeA	qacG	vanT_gene_in_vanG_cluster	vanY_gene_in_vanG_cluster	APH.3...Ia	CfxA2	Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin	patB	qacJ	tet.32.	ErmB	vanH_gene_in_vanP_cluster
SL021	-2.99463784238776	-4.84851704497347	-2.49040661377946	-2.20403356654119	-3.86362393736368	-3.91751694535888	-5.96845391058411	-3.62165114705772	-5.16417838145848	-4.37653864922119	-2.87067869489763	-8.73726386701864	-9.22530775625345	-7.62551550936618	-8.75646360958726	-8.21702226925324	-8.78305875896855	-8.22079133574794	-7.30413078366569	-7.59465051966119	-6.85327941785524	-8.99644202380641	-10.180716983144	-6.9471802845054	-8.50536907181334
SL036	-6.13657883765911	-9.81573792504172	-6.01300415254058	-4.3924177420887	-6.15795248845168	-5.61865018443297	-5.89066860961653	-1.54506475209918	-10.0132175961452	-5.11202976950464	-2.41606901015335	-5.78473516486746	-8.22530775625345	-3.22472801140301	-6.57729308499699	-3.02926698447483	-4.29053812806949	-8.22079133574794	-7.30413078366569	-7.59465051966119	-6.85327941785524	-8.99644202380641	-10.180716983144	-6.9471802845054	-8.50536907181334
SL037	-4.64940505921712	-5.1459663024996	-4.83976082250447	-3.0416432500415	-5.76231673707912	-5.62999966004452	-5.13223477490132	-2.79067787326502	-10.0132175961452	-3.47999891951062	-2.64267349007963	-8.73726386701864	-9.22530775625345	-6.57303537024524	-4.31182370001827	-5.55325856924589	-4.53749125338758	-5.61792682774395	-5.39571729225941	-3.29606992607829	-5.23566436455672	-7.66424839567352	-6.43735458210213	-6.9471802845054	-8.50536907181334
SL038	-8.43162051878761	-9.81573792504172	-7.20851016011816	-3.00945840207913	-7.85305130329042	-3.50102974954727	-3.22522045448782	-3.95106267018232	-6.55848002173117	-8.02681567284993	-1.44094914554326	-8.73726386701864	-9.22530775625345	-7.62551550936618	-3.43648949735256	-8.21702226925324	-6.04251361360154	-8.22079133574794	-7.30413078366569	-7.59465051966119	-2.94975647268169	-8.99644202380641	-10.180716983144	-6.9471802845054	-8.50536907181334
SL048	-5.13569727792432	-6.31516079372222	-4.62683243692099	-6.23107797847041	-4.994799499818	-5.30188509773483	-6.58294091120667	-2.13999741535794	-8.90486900609403	-4.71673940927413	-1.81947751486339	-8.73726386701864	-9.22530775625345	-4.57962055291506	-4.73755995285873	-3.29902777569696	-4.22746025660828	-8.22079133574794	-5.14898619858519	-5.30627463978511	-6.85327941785524	-8.99644202380641	-10.180716983144	-6.9471802845054	-8.50536907181334
SL050	-6.09331621191889	-5.29702727396347	-5.4551683539706	-3.84972542977926	-5.85165545687766	-6.88209540472135	-7.93520764283932	-4.05964849915349	-7.12394217594965	-6.85694975654717	-1.88520801658869	-8.73726386701864	-9.22530775625345	-4.53048488106304	-3.04514892945838	-6.37413178187969	-2.30793245362196	-8.22079133574794	-7.30413078366569	-4.16750903735534	-4.02502611326784	-8.99644202380641	-10.180716983144	-6.9471802845054	-8.50536907181334
SL068	-8.43162051878761	-9.81573792504172	-5.05012022963872	-5.10824964086491	-5.14260114565569	-5.47017580368419	-7.93520764283932	-1.18724184041269	-5.79660529080649	-6.18442132135031	-5.57870026046236	-8.73726386701864	-9.22530775625345	-3.96842667121202	-3.59119120464556	-3.12042976465707	-7.78305875896855	-8.22079133574794	-5.29859234126962	-4.32329514285173	-5.07248554796924	-7.48140305910744	-10.180716983144	-5.56725023971882	-8.50536907181334
SL085	-4.87522553035271	-5.72711611416526	-4.12604636001567	-7.23107797847041	-4.75909565739534	-4.08770806558792	-7.93520764283932	-4.35813334332822	-10.0132175961452	-4.86286832383273	-0.968793005883421	-5.00254969425962	-9.22530775625345	-6.25000550750581	-8.75646360958726	-5.04457290915532	-5.18417577124186	-8.22079133574794	-7.30413078366569	-4.23321132178975	-6.85327941785524	-4.484701389397	-10.180716983144	-6.9471802845054	-8.50536907181334
SL086	-3.6300569072894	-9.81573792504172	-4.24920809418638	-3.3848222270924	-4.24391379451687	-5.11992507724141	-7.93520764283932	-3.0433037956385	-10.0132175961452	-7.02681567284993	-2.12697983477536	-6.31333843160609	-4.17040652647878	-7.62551550936618	-4.18435694983641	-4.30199550854581	-4.35439033087844	-4.82887629523802	-7.30413078366569	-7.59465051966119	-5.85327941785524	-7.99644202380641	-10.180716983144	-4.25508466052305	-8.50536907181334
SL088	-5.00875752050257	-5.83484217227435	-4.9027202810097	-3.87812555497452	-4.50334810069699	-7.31146054182734	-3.98983943599122	-3.24877527361139	-8.73216679119287	-3.56224178975056	-2.20764014433369	-6.02142451767028	-9.22530775625345	-6.00545129372042	-5.46488291235772	-4.30303963699391	-4.30181623641952	-5.20860483513586	-7.30413078366569	-4.17238071004647	-3.70883428736225	-8.99644202380641	-10.180716983144	-6.9471802845054	-6.15741036162218
