sample	gene_name	start	end	drug_class	conteo
SL021	APH(3'')-Ib	3.0	836.0	aminoglycoside antibiotic	28
SL021	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	2.0	970.0	cephalosporin; cephamycin; penam	9
SL021	TEM-1	575.0	1435.0	monobactam; cephalosporin; penam; penem	41
SL021	patA	89.0	1345.0	fluoroquinolone antibiotic	73
SL021	sul2	1141.0	1956.0	sulfonamide antibiotic	15
SL021	tet(M)	1435.0	3354.0	tetracycline antibiotic	34
SL021	vanW gene in vanG cluster	2.0	235.0	glycopeptide antibiotic	1
SL021	vanW gene in vanI cluster	2.0	277.0	glycopeptide antibiotic	6
SL021	vanY gene in vanA cluster	2.0	403.0	glycopeptide antibiotic	3
SL021	vanY gene in vanB cluster	2.0	622.0	glycopeptide antibiotic	8
SL021	vanY gene in vanM cluster	2.0	247.0	glycopeptide antibiotic	9
SL021	__no_feature				283867
SL021	__ambiguous				6
SL021	__too_low_aQual				67884
SL021	__not_aligned				126879
SL021	__alignment_not_unique				0
SL036	APH(3'')-Ib	2554.0	3357.0	aminoglycoside antibiotic	30
SL036	CfxA3	5744.0	6709.0	cephamycin	46
SL036	ErmX	190.0	987.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	7
SL036	TEM-1	851.0	1711.0	monobactam; cephalosporin; penam; penem	35
SL036	mdeA	3.0	935.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	262
SL036	nimJ	691.0	1179.0	nitroimidazole antibiotic	14
SL036	patA	121.0	1440.0	fluoroquinolone antibiotic	165
SL036	qacG	3.0	293.0	disinfecting agents and antiseptics	8
SL036	sul2	3418.0	4233.0	sulfonamide antibiotic	30
SL036	tet(M)	3.0	1256.0	tetracycline antibiotic	67
SL036	tet(Q)	421.0	936.0	tetracycline antibiotic	5
SL036	vanT gene in vanG cluster	373.0	1476.0	glycopeptide antibiotic	355
SL036	vanW gene in vanG cluster	2.0	340.0	glycopeptide antibiotic	15
SL036	vanW gene in vanI cluster	3.0	251.0	glycopeptide antibiotic	224
SL036	vanY gene in vanA cluster	48.0	422.0	glycopeptide antibiotic	0
SL036	vanY gene in vanB cluster	3.0	305.0	glycopeptide antibiotic	23
SL036	vanY gene in vanF cluster	9086.0	9853.0	glycopeptide antibiotic	23
SL036	vanY gene in vanG cluster	1.0	246.0	glycopeptide antibiotic	33
SL036	vanY gene in vanM cluster	1.0	246.0	glycopeptide antibiotic	121
SL036	__no_feature				1199937
SL036	__ambiguous				7
SL036	__too_low_aQual				99246
SL036	__not_aligned				160457
SL036	__alignment_not_unique				0
SL037	APH(3'')-Ib	3.0	836.0	aminoglycoside antibiotic	42
SL037	APH(3')-Ia	99.0	914.0	aminoglycoside antibiotic	21
SL037	CfxA2	547.0	1512.0	cephamycin	29
SL037	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3.0	1160.0	elfamycin antibiotic	149
SL037	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3629.0	5449.0	cephalosporin; cephamycin; penam	65
SL037	TEM-1	148.0	1008.0	monobactam; cephalosporin; penam; penem	38
SL037	mdeA	1514.0	2869.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	18
SL037	patA	325.0	2031.0	fluoroquinolone antibiotic	262
SL037	patB	1.0	1431.0	fluoroquinolone antibiotic	48
SL037	qacG	119.0	448.0	disinfecting agents and antiseptics	21
SL037	qacJ	3.0	323.0	disinfecting agents and antiseptics	2
SL037	sul2	84.0	899.0	sulfonamide antibiotic	19
SL037	tet(32)	79.0	1998.0	tetracycline antibiotic	28
SL037	tet(M)	532.0	2451.0	tetracycline antibiotic	49
SL037	tetR	93.0	716.0	tetracycline antibiotic	5
SL037	vanT gene in vanG cluster	51.0	1016.0	glycopeptide antibiotic	26
SL037	vanW gene in vanB cluster	1.0	243.0	glycopeptide antibiotic	0
SL037	vanW gene in vanG cluster	3.0	224.0	glycopeptide antibiotic	8
SL037	vanW gene in vanI cluster	143.0	361.0	glycopeptide antibiotic	40
SL037	vanY gene in vanB cluster	112.0	420.0	glycopeptide antibiotic	35
SL037	vanY gene in vanG cluster	1.0	294.0	glycopeptide antibiotic	16
SL037	vanY gene in vanM cluster	2.0	253.0	glycopeptide antibiotic	51
SL037	__no_feature				982702
SL037	__ambiguous				18
SL037	__too_low_aQual				126642
SL037	__not_aligned				158401
SL037	__alignment_not_unique				0
SL038	patA	93.0	1799.0	fluoroquinolone antibiotic	90
SL038	patB	2.0	1657.0	fluoroquinolone antibiotic	91
SL038	qacG	89.0	292.0	disinfecting agents and antiseptics	8
SL038	qacJ	2.0	220.0	disinfecting agents and antiseptics	0
SL038	tet(M)	11955.0	13874.0	tetracycline antibiotic	72
SL038	vanW gene in vanG cluster	14170.0	15006.0	glycopeptide antibiotic	38
SL038	vanW gene in vanI cluster	2.0	256.0	glycopeptide antibiotic	7
SL038	vanY gene in vanA cluster	1.0	222.0	glycopeptide antibiotic	1
SL038	vanY gene in vanG cluster	2.0	622.0	glycopeptide antibiotic	4
SL038	vanY gene in vanM cluster	1.0	243.0	glycopeptide antibiotic	38
SL038	__no_feature				394417
SL038	__ambiguous				32
SL038	__too_low_aQual				68008
SL038	__not_aligned				153861
SL038	__alignment_not_unique				0
SL048	APH(3'')-Ib	5921.0	6724.0	aminoglycoside antibiotic	42
SL048	CfxA2	4.0	969.0	cephamycin	50
SL048	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	21.0	1205.0	elfamycin antibiotic	55
SL048	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	579.0	2399.0	cephalosporin; cephamycin; penam	42
SL048	TEM-1	7567.0	8427.0	monobactam; cephalosporin; penam; penem	64
SL048	mdeA	1.0	651.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	50
SL048	nimA	161.0	649.0	nitroimidazole antibiotic	24
SL048	nimI	80.0	583.0	nitroimidazole antibiotic	0
SL048	nimJ	141.0	623.0	nitroimidazole antibiotic	23
SL048	patA	2.0	1678.0	fluoroquinolone antibiotic	41
SL048	qacG	2.0	277.0	disinfecting agents and antiseptics	19
SL048	sul2	5045.0	5860.0	sulfonamide antibiotic	47
SL048	tet(M)	3.0	539.0	tetracycline antibiotic	25
SL048	tet(Q)	661.0	2634.0	tetracycline antibiotic	50
SL048	vanT gene in vanG cluster	2.0	1030.0	glycopeptide antibiotic	192
SL048	vanW gene in vanG cluster	2.0	262.0	glycopeptide antibiotic	5
SL048	vanW gene in vanI cluster	1.0	216.0	glycopeptide antibiotic	90
SL048	vanY gene in vanA cluster	3.0	263.0	glycopeptide antibiotic	1
SL048	vanY gene in vanB cluster	264.0	578.0	glycopeptide antibiotic	22
SL048	vanY gene in vanG cluster	2.0	256.0	glycopeptide antibiotic	25
SL048	vanY gene in vanM cluster	1.0	246.0	glycopeptide antibiotic	128
SL048	__no_feature				1048104
SL048	__ambiguous				17
SL048	__too_low_aQual				128933
SL048	__not_aligned				190892
SL048	__alignment_not_unique				0
SL050	APH(3'')-Ib	3342.0	4145.0	aminoglycoside antibiotic	15
SL050	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3.0	1187.0	elfamycin antibiotic	84
SL050	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	1514.0	3334.0	cephalosporin; cephamycin; penam	59
SL050	TEM-1	83.0	943.0	monobactam; cephalosporin; penam; penem	25
SL050	mdeA	2.0	382.0	fluoroquinolone antibiotic; aminoglycoside antibiotic; penam; tetracycline antibiotic; disinfecting agents and antiseptics	21
SL050	patA	3163.0	4905.0	fluoroquinolone antibiotic	154
SL050	patB	4907.0	6478.0	fluoroquinolone antibiotic	123
SL050	qacG	1294.0	1617.0	disinfecting agents and antiseptics	50
SL050	sul2	2466.0	3281.0	sulfonamide antibiotic	18
SL050	tet(M)	160.0	1548.0	tetracycline antibiotic	15
SL050	vanT gene in vanG cluster	6292.0	7398.0	glycopeptide antibiotic	17
SL050	vanW gene in vanI cluster	3.0	290.0	glycopeptide antibiotic	22
SL050	vanY gene in vanA cluster	213.0	431.0	glycopeptide antibiotic	2
SL050	vanY gene in vanB cluster	1175.0	1720.0	glycopeptide antibiotic	6
SL050	vanY gene in vanG cluster	1.0	276.0	glycopeptide antibiotic	71
SL050	vanY gene in vanM cluster	1.0	261.0	glycopeptide antibiotic	90
SL050	__no_feature				587634
SL050	__ambiguous				38
SL050	__too_low_aQual				61161
SL050	__not_aligned				109325
SL050	__alignment_not_unique				0
SL068	CfxA2	176.0	1141.0	cephamycin	17
SL068	ErmB	722.0	1474.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	11
SL068	ErmF	1.0	768.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	10
SL068	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	382.0	1566.0	elfamycin antibiotic	41
SL068	TEM-1	907.0	1767.0	monobactam; cephalosporin; penam; penem	18
